epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,86.9394,1.34439,1.06978,1.22502,0.36983,0.55,0.45416,0.17772,2.14109,2.03545,1.76573,0.000413998,0.000413998,0.000413998
59,88.31,1.47928,1.09089,1.23747,0.36983,0.55,0.45416,0.17772,2.14109,2.03545,1.76573,0.000411689,0.000411689,0.000411689
60,89.7033,1.48386,1.25694,1.30223,0.5352,0.52222,0.5288,0.19958,2.1453,1.76687,1.72939,0.00040905,0.00040905,0.00040905
61,91.641,1.44069,1.06837,1.2422,0.5352,0.52222,0.5288,0.19958,2.1453,1.76687,1.72939,0.000406081,0.000406081,0.000406081
62,93.0284,1.25751,0.98444,1.17274,0.5352,0.52222,0.5288,0.19958,2.1453,1.76687,1.72939,0.000402782,0.000402782,0.000402782
63,94.7951,1.74038,1.325,1.38109,0.65095,0.49316,0.56431,0.21252,2.09377,1.67433,1.66265,0.000399153,0.000399153,0.000399153
64,96.7315,1.18105,0.90251,1.10393,0.65095,0.49316,0.56431,0.21252,2.09377,1.67433,1.66265,0.000395194,0.000395194,0.000395194
65,98.0687,1.23502,0.96218,1.16951,0.65095,0.49316,0.56431,0.21252,2.09377,1.67433,1.66265,0.000390905,0.000390905,0.000390905
66,99.6414,1.26353,0.92439,1.12263,0.67242,0.57704,0.63827,0.27291,1.98987,1.57415,1.5775,0.000386286,0.000386286,0.000386286
67,100.949,1.28446,0.90769,1.12495,0.67242,0.57704,0.63827,0.27291,1.98987,1.57415,1.5775,0.000381336,0.000381336,0.000381336
68,103.009,1.28377,0.89311,1.11722,0.67242,0.57704,0.63827,0.27291,1.98987,1.57415,1.5775,0.000376057,0.000376057,0.000376057
69,104.372,1.44271,1.08649,1.18549,0.69061,0.55556,0.65209,0.2948,1.9209,1.5008,1.54625,0.000370447,0.000370447,0.000370447
70,105.919,1.41481,1.04623,1.20283,0.69061,0.55556,0.65209,0.2948,1.9209,1.5008,1.54625,0.000364508,0.000364508,0.000364508
71,107.633,1.36048,1.00401,1.14036,0.69061,0.55556,0.65209,0.2948,1.9209,1.5008,1.54625,0.000358238,0.000358238,0.000358238
72,109.473,1.29754,1.02449,1.13854,0.66229,0.68333,0.6873,0.30608,1.89454,1.41046,1.52406,0.000351639,0.000351639,0.000351639
